node_index,z_m
0,-0.600000
1,-0.150000
2,0.000000
3,0.150000
4,0.566667
5,0.983333
6,1.400000
7,1.816667
8,2.233333
9,2.650000
10,3.066667
11,3.483333
12,3.900000
