node_index,x_m
0,0.000000
1,0.394737
2,0.789474
3,1.184211
4,1.578947
5,1.973684
6,2.368421
7,2.763158
8,3.157895
9,3.552632
10,3.947368
11,4.342105
12,4.736842
13,5.131579
14,5.526316
15,5.921053
16,6.315789
17,6.710526
18,7.105263
19,7.500000
20,7.894737
21,8.289474
22,8.684211
23,9.078947
24,9.473684
25,9.868421
26,10.263158
27,10.657895
28,11.052632
29,11.447368
30,11.842105
31,12.236842
32,12.631579
33,13.026316
34,13.421053
35,13.815789
36,14.210526
37,14.605263
38,15.000000
