node_index,z_m
0,-0.600000
1,-0.466667
2,-0.333333
3,-0.200000
4,-0.155556
5,-0.111111
6,-0.066667
7,-0.022222
8,0.022222
9,0.066667
10,0.111111
11,0.155556
12,0.200000
13,0.348000
14,0.496000
15,0.644000
16,0.792000
17,0.940000
18,1.088000
19,1.236000
20,1.384000
21,1.532000
22,1.680000
23,1.828000
24,1.976000
25,2.124000
26,2.272000
27,2.420000
28,2.568000
29,2.716000
30,2.864000
31,3.012000
32,3.160000
33,3.308000
34,3.456000
35,3.604000
36,3.752000
37,3.900000
